repo_key,repo_url,python_ratio,java_ratio,javascript_ratio,typescript_ratio,kotlin_ratio,dart_ratio,swift_ratio,csharp_ratio,cpp_ratio,html_ratio,css_ratio,go_ratio,php_ratio,ruby_ratio,solidity_ratio,has_spring,has_fastapi,has_django,has_flask,has_express,has_nestjs,has_react,has_nextjs,has_vue,has_flutter,has_react_native,has_unity,has_unreal,has_pytorch,has_tensorflow,has_yolo,has_opencv,has_streamlit,has_docker,has_kubernetes,has_aws,has_terraform,has_github_actions,has_jenkins,has_solidity,kw_backend,kw_api,kw_database,kw_auth,kw_orm,kw_frontend,kw_ui,kw_seo,kw_ai,kw_model,kw_cv,kw_data,kw_devops,kw_container,kw_cloud,kw_monitoring,kw_mobile,kw_flutter,kw_kotlin,kw_swift,kw_game,kw_blockchain,profile_text_len,profile_token_count,profile_keyword_count,github_score,total_valid_loc,total_evidence_loc,total_commits_analyzed,has_tests,has_cicd,has_deployment,readme_has_image,test_ratio,source_file_count,avg_loc_per_file,readme_len,label
freitasgouvea/token-erc-20,https://github.com/freitasgouvea/token-erc-20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172,26,1,77.3,2836.0,283584.0,75.0,1,0,0,0,0.5,28.0,101.3,1500,블록체인
ShivankK26/Solana-NFT-Minting,https://github.com/ShivankK26/Solana-NFT-Minting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,58,10,3,26.5,247.0,200.0,5.0,0,0,0,0,0.0,5.0,49.4,1500,블록체인
ashishlamsal/voting-dapp,https://github.com/ashishlamsal/voting-dapp,0.0,0.0,0.9278350515463917,0.0,0.0,0.0,0.0,0.0,0.0,0.05998125585754452,0.01218369259606373,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,138,23,4,56.6,1707.0,21707.0,12.0,1,0,0,1,0.07142857142857142,28.0,61.0,1500,블록체인
zubairahm3d/Beginner-Level-Solidity-Projects,https://github.com/zubairahm3d/Beginner-Level-Solidity-Projects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,6,1,58.4,2272.0,1390.0,44.0,0,0,0,0,0.010526315789473684,95.0,23.9,1500,블록체인
Subham2S/BigData-Engineering-Capstone-Project-1,https://github.com/Subham2S/BigData-Engineering-Capstone-Project-1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,52,10,4,60.6,7608.0,933999.0,37.0,0,0,0,1,0.0,10.0,760.8,1500,빅데이터 엔지니어
levist7/Spark_Big_Data_Project,https://github.com/levist7/Spark_Big_Data_Project,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,2,22.0,24.0,176.0,11.0,0,0,0,0,0.0,3.0,8.0,1500,빅데이터 엔지니어
Mouhamed-Jinja/Hadoop-Docker-Spark-Sql-Hive-Data-Integration-and-Warehousing-Project,https://github.com/Mouhamed-Jinja/Hadoop-Docker-Spark-Sql-Hive-Data-Integration-and-Warehousing-Project,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,82,18,4,59.5,1209483.0,549.0,32.0,0,0,1,1,0.02689486552567237,409.0,2957.2,1500,빅데이터 엔지니어
dogukannulu/kafka_spark_structured_streaming,https://github.com/dogukannulu/kafka_spark_structured_streaming,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,113,23,6,55.7,430.0,483.0,30.0,0,1,1,1,0.0,3.0,143.3,1500,빅데이터 엔지니어
alfianhid/Big-Data-Apache-Spark-Projects,https://github.com/alfianhid/Big-Data-Apache-Spark-Projects,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,38,6,2,55.2,2729.0,8145919.0,4.0,0,0,0,0,0.0,7.0,389.9,671,빅데이터 엔지니어
harshithvijay/React-Admin-Dashboard,https://github.com/harshithvijay/React-Admin-Dashboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,8,1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,프론트엔드
